% M500     M30kpc3D
1.33e+14   4.01e+11
1.63e+14   3.69e+11
1.32e+14   4.59e+11
1.53e+14   4.63e+11
1.36e+14   5.14e+11
1.43e+14   4.98e+11
1.46e+14   5.19e+11
1.35e+14   5.59e+11
1.66e+14   5.24e+11
1.78e+14   5.14e+11
1.38e+14   6.39e+11
1.52e+14   6.59e+11
1.60e+14   6.19e+11
1.74e+14   6.45e+11
1.83e+14   6.38e+11
1.85e+14   6.87e+11
2.10e+14   3.50e+11
2.08e+14   7.15e+11
2.15e+14   7.30e+11
2.13e+14   6.93e+11
2.18e+14   6.12e+11
2.32e+14   5.63e+11
2.33e+14   6.38e+11
2.29e+14   6.58e+11
2.35e+14   7.30e+11
2.60e+14   5.99e+11
2.66e+14   6.44e+11
2.79e+14   6.44e+11
2.70e+14   7.45e+11
3.03e+14   5.23e+11
3.01e+14   6.30e+11
3.60e+14   5.68e+11
3.91e+14   6.43e+11
4.19e+14   6.56e+11
2.97e+14   8.43e+11
1.38e+14   7.24e+11
1.33e+14   7.32e+11
1.31e+14   7.63e+11
1.36e+14   8.03e+11
1.46e+14   7.86e+11
1.40e+14   8.82e+11
1.50e+14   1.08e+12
3.94e+14   1.43e+12
3.30e+14   1.43e+12
2.74e+14   1.20e+12
2.81e+14   1.06e+12
3.36e+14   1.06e+12
3.53e+14   1.09e+12
3.81e+14   1.15e+12
4.71e+14   1.18e+12
4.52e+14   9.33e+11
6.29e+14   1.30e+12
6.00e+14   1.52e+12
7.03e+14   2.16e+12
9.64e+14   1.32e+12
1.15e+15   2.13e+12
2.01e+14   1.36e+12
2.20e+14   1.40e+12
2.35e+14   1.28e+12
2.63e+14   1.35e+12
2.64e+14   1.40e+12
2.52e+14   9.96e+11
2.47e+14   9.26e+11
2.15e+14   8.89e+11
2.05e+14   8.44e+11
1.61e+14   8.45e+11
1.55e+14   9.28e+11
1.57e+14   7.62e+11
1.87e+14   8.27e+11
1.68e+14   8.90e+11
1.56e+14   1.14e+12
1.64e+14   1.15e+12
2.01e+14   1.16e+12
1.95e+14   1.19e+12
1.82e+14   9.42e+11
1.86e+14   1.05e+12
1.91e+14   9.42e+11
1.99e+14   9.42e+11
2.11e+14   9.86e+11
